id_servicio,descripcion,tipo,precioUnitario,cantidad,totalServicio
0,descripcion,0,0,0,0
51,ensamble vestido,2,860,25,19350
52,costura correa mochila,3,450,60,24300
53,cierre pantalon,1,600,4,2160
54,boton camisa,2,145,120,15660
55,forro piloto,3,324,156,45490
56,vicera,3,450,180,72900
57,costura remera,3,650,60,35100
58,ensamble bolso,3,450,80,32400
59,cambio cierre,1,700,2,1260
63,boton camisa,2,145,120,15660
64,ensamble bolso,3,450,50,20250
65,cambio cierre,1,700,2,1260
66,forro campera,3,365,150,49275
68,vicera,3,450,160,64800
70,cierre pantalon,1,600,2,1080
71,ensamble bolso,3,450,40,16200
72,boton camisa,2,145,60,7830
73,cambio boton,2,70,25,1575
74,ensamble vestido,2,860,15,11610
